数据名称	节点数	量测量总数	冗余度K	量测噪声标准差σ
cr14_1	    14	   119	       4.407	  0.001
cr57_1	    57	   461	       4.080	  0.001
cr118_1	    118	   1060        4.511	  0.001
cr736_1	    736	   5208        3.540	  0.001
cr2383wp_1	2383   17533	   3.680	  0.001
				
cr14_2	    14	   119	       4.407	  0.020
cr57_2	    57	   461	       4.080	  0.020
cr118_2	    118	   1060        4.511	  0.020
				
cr14_3	    14	   79	       2.926	  0.001
cr57_3	    57	   301	       2.664	  0.001
cr118_3	    118	   688	       2.928	  0.001
				
cr14_4	    14	   79	       2.926	  0.02
cr57_4	    57	   301	       2.664	  0.02
cr118_4	    118	   688	       2.928	  0.02
